MD,ELECT_DENS,TEMP,Oxi,Nit,Hyd,Hel,O2,NO
-1072.0,2546,763,53,16,815,116,0,0
-1074.0,2534,763,53,16,816,116,0,0
-1076.0,2522,763,52,16,816,116,0,0
-1078.0,2511,763,51,16,817,116,0,0
-1080.0,2499,763,51,16,817,116,0,0
-1082.0,2488,763,50,16,818,116,0,0
-1084.0,2477,763,50,16,818,116,0,0
-1086.0,2465,763,49,16,819,116,0,0
-1088.0,2454,763,49,16,819,116,0,0
-1090.0,2443,763,48,15,820,117,0,0
-1092.0,2432,763,48,15,820,117,0,0
-1094.0,2421,763,47,15,821,117,0,0
-1096.0,2410,763,47,15,821,117,0,0
-1098.0,2400,763,46,15,822,117,0,0
-1100.0,2389,763,46,15,822,117,0,0
-1102.0,2378,763,45,15,823,117,0,0
-1104.0,2368,763,45,15,823,117,0,0
-1106.0,2357,763,44,15,823,117,0,0
-1108.0,2347,763,44,15,824,117,0,0
-1110.0,2337,763,44,15,824,117,0,0
-1112.0,2327,763,43,15,825,117,0,0
-1114.0,2316,763,43,15,825,117,0,0
-1116.0,2306,763,42,15,826,117,0,0
-1118.0,2296,763,42,15,826,117,0,0
-1120.0,2286,763,41,15,827,118,0,0
-1122.0,2277,763,41,15,827,118,0,0
-1124.0,2267,763,40,14,827,118,0,0
-1126.0,2257,763,40,14,828,118,0,0
-1128.0,2247,763,40,14,828,118,0,0
-1130.0,2238,763,39,14,829,118,0,0
-1132.0,2228,763,39,14,829,118,0,0
-1134.0,2219,763,38,14,830,118,0,0
-1136.0,2209,763,38,14,830,118,0,0
-1138.0,2200,763,38,14,830,118,0,0
-1140.0,2191,763,37,14,831,118,0,0
-1142.0,2182,763,37,14,831,118,0,0
-1144.0,2173,763,36,14,831,118,0,0
-1146.0,2163,763,36,14,832,118,0,0
-1148.0,2154,763,36,14,832,118,0,0
-1150.0,2146,763,35,14,833,118,0,0
-1152.0,2137,763,35,14,833,118,0,0
-1154.0,2128,763,34,14,833,119,0,0
-1156.0,2119,763,34,14,834,119,0,0
-1158.0,2110,763,34,14,834,119,0,0
-1160.0,2102,763,33,13,834,119,0,0
-1162.0,2093,763,33,13,835,119,0,0
-1164.0,2085,763,33,13,835,119,0,0
-1166.0,2076,763,32,13,835,119,0,0
-1168.0,2068,763,32,13,836,119,0,0
-1170.0,2059,763,32,13,836,119,0,0
-1172.0,2051,763,31,13,837,119,0,0
-1174.0,2043,763,31,13,837,119,0,0
-1176.0,2035,763,31,13,837,119,0,0
-1178.0,2026,763,30,13,838,119,0,0
-1180.0,2018,763,30,13,838,119,0,0
-1182.0,2010,763,30,13,838,119,0,0
-1184.0,2002,763,29,13,838,119,0,0
-1186.0,1994,763,29,13,839,119,0,0
-1188.0,1987,763,29,13,839,119,0,0
-1190.0,1979,763,28,13,839,119,0,0
-1192.0,1971,763,28,13,840,119,0,0
-1194.0,1963,763,28,13,840,120,0,0
